ST,COUNTY ID,COUNTY NAME, BROADBAND AVAILABILITY PER FCC , BROADBAND USAGE 
AZ,4001,Apache County, 0.00 , 0.05 
AZ,4003,Cochise County, 0.59 , 0.32 
AZ,4005,Coconino County, 0.62 , 0.32 
AZ,4007,Gila County, 0.71 , 0.34 
AZ,4009,Graham County, 0.68 , 0.39 
AZ,4011,Greenlee County, 0.55 , 0.22 
AZ,4012,La Paz County, 0.47 , 0.19 
AZ,4013,Maricopa County, 0.93 , 0.65 
AZ,4015,Mohave County, 0.79 , 0.40 
AZ,4017,Navajo County, 0.47 , 0.27 
AZ,4019,Pima County, 0.92 , 0.44 
AZ,4021,Pinal County, 0.68 , 0.29 
AZ,4023,Santa Cruz County, 0.83 , 0.11 
AZ,4025,Yavapai County, 0.87 , 0.46 
AZ,4027,Yuma County, 0.90 , 0.37 
